,50 B off,,,,,50 B on 1,,,,,50 B on 2,,,,,50 Z off,,,,,50 Z on 1,,,,,50 Z on 2,,,,
115,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
120,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
125,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
130,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
135,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
140,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
145,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
150,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
155,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
160,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
165,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
170,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
175,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1
180,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
185,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
190,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
195,0,0,2,0,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,2,0,2
200,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,1
205,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1
210,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,1
215,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,1
220,0,0,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0
225,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,1
230,0,0,5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,3,1,1
235,0,0,4,0,2,0,0,1,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,1,0,0,3,0,2
240,0,0,4,1,4,0,0,1,0,1,0,0,1,0,1,0,0,2,0,2,0,0,1,0,1,0,0,3,1,2
245,0,0,5,0,2,0,0,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,1,0,1,0,0,3,0,1
250,0,0,5,0,3,0,0,1,0,1,0,0,1,0,1,0,0,3,0,1,0,0,1,0,1,0,0,3,0,2
255,0,0,8,0,4,0,0,2,0,1,0,0,2,0,1,0,0,4,0,2,0,0,2,0,1,0,0,5,0,2
260,0,0,7,1,2,0,0,2,0,0,0,0,2,0,1,0,0,4,0,1,0,0,2,0,1,0,0,5,1,2
265,0,0,9,1,3,0,0,2,0,1,0,0,3,0,1,0,0,5,1,1,0,0,2,0,1,0,0,6,1,2
270,1,0,10,1,2,0,0,3,0,0,0,0,3,0,1,0,0,6,0,1,0,0,3,0,1,0,0,7,1,1
275,0,1,13,0,2,0,0,4,0,0,0,0,4,0,1,0,0,7,0,1,0,0,4,0,1,0,1,9,0,2
280,0,0,13,1,4,0,0,3,0,1,0,0,4,0,1,0,0,7,1,2,0,0,4,0,1,0,0,9,1,2
285,0,0,12,1,4,0,0,3,0,1,0,0,3,0,1,0,0,7,1,2,0,0,3,0,1,0,0,8,1,3
290,0,0,12,2,3,0,0,3,0,1,0,0,3,0,1,0,0,6,1,1,0,0,3,0,1,0,0,8,1,2
295,0,0,10,2,3,0,0,3,0,1,0,0,3,0,1,0,0,6,1,1,0,0,3,0,1,0,0,7,1,2
300,0,0,14,1,7,0,0,4,0,1,0,0,4,0,2,0,0,8,0,3,0,0,4,0,2,0,0,10,1,4
305,0,0,13,2,5,0,0,4,0,1,0,0,4,0,2,0,0,7,1,2,0,0,4,0,2,0,0,9,1,4
310,0,0,17,1,6,0,0,5,0,1,0,0,5,0,2,0,0,9,1,3,0,0,5,0,2,0,0,12,1,4
315,0,0,21,2,6,0,0,6,0,1,0,0,6,0,2,0,0,11,1,3,0,0,6,0,2,0,0,14,1,4
320,1,1,23,3,5,0,0,6,1,1,0,0,7,1,2,0,0,13,1,2,0,0,6,1,2,0,1,16,2,4
325,1,1,26,3,5,0,0,7,1,1,0,0,8,1,1,0,1,15,1,2,0,0,7,1,2,0,1,18,2,3
330,0,1,31,3,7,0,0,8,1,1,0,0,9,1,2,0,1,17,2,3,0,0,9,1,2,0,1,22,2,4
335,0,1,33,3,5,0,0,9,1,1,0,0,10,1,2,0,1,18,2,2,0,0,9,1,2,0,1,23,2,4
340,0,2,37,2,7,0,0,10,1,1,0,0,11,1,2,0,1,21,1,3,0,0,10,1,2,0,1,26,2,4
345,0,1,39,3,5,0,0,11,1,1,0,0,12,1,1,0,1,22,2,2,0,0,11,1,2,0,1,28,2,3
350,0,2,41,5,6,0,0,11,1,1,0,0,12,1,2,0,1,23,3,3,0,0,12,1,2,0,1,29,3,4
355,0,2,41,4,5,0,0,11,1,1,0,0,12,1,2,0,1,23,2,2,0,0,12,1,2,0,1,29,3,4
360,0,2,46,6,5,0,0,12,2,1,0,0,13,2,2,0,1,25,3,2,0,0,13,2,2,0,1,32,4,4
365,0,2,51,5,6,0,1,14,1,1,0,1,15,1,2,0,1,28,3,3,0,1,14,1,2,0,1,36,3,4
370,0,2,55,7,6,0,1,15,2,1,0,1,16,2,2,0,1,30,4,3,0,1,15,2,2,0,1,38,5,4
375,0,1,58,7,7,0,0,16,2,1,0,0,17,2,2,0,0,32,4,3,0,0,16,2,2,0,1,41,5,4
380,0,2,66,8,8,0,1,18,2,1,0,1,19,2,2,0,1,37,4,4,0,1,19,2,3,0,2,46,5,5
385,0,2,65,10,8,0,0,17,3,1,0,0,19,3,2,0,1,36,6,4,0,0,18,3,3,0,1,46,7,5
390,0,2,74,10,7,0,1,20,3,1,0,1,21,3,2,0,1,41,6,3,0,1,21,3,2,0,2,51,7,5
395,0,3,77,11,8,0,1,21,3,1,0,1,22,3,2,0,2,42,6,4,0,1,22,3,3,0,2,54,8,5
400,0,3,80,11,10,0,1,22,3,2,0,1,23,3,3,0,1,44,6,4,0,1,23,3,3,0,2,56,8,6
405,0,3,82,10,9,0,1,22,3,2,0,1,24,3,3,0,1,45,5,4,0,1,23,3,3,0,2,57,7,6
410,0,3,81,10,8,0,1,22,3,2,0,1,24,3,2,0,2,45,6,4,0,1,23,3,3,0,2,57,7,6
415,0,3,81,9,8,0,1,22,2,1,0,1,24,3,2,0,1,45,5,4,0,1,23,3,3,0,2,57,6,5
420,0,2,78,9,8,0,0,21,2,2,0,0,23,3,2,0,1,43,5,4,0,0,22,3,3,0,1,54,6,6
425,0,3,81,11,8,0,1,22,3,2,0,1,23,3,2,0,1,45,6,4,0,1,23,3,3,0,2,56,8,6
430,0,2,82,11,9,0,1,22,3,2,0,1,24,3,3,0,1,45,6,4,0,1,23,3,3,0,1,57,8,6
435,0,2,79,11,10,0,0,21,3,2,0,0,23,3,3,0,1,44,6,5,0,0,22,3,3,0,1,55,8,7
440,0,2,82,11,10,0,1,22,3,2,0,1,24,3,3,0,1,45,6,5,0,1,23,3,3,0,2,57,8,7
445,0,3,79,12,11,0,1,21,3,2,0,1,23,3,3,0,1,44,6,5,0,1,22,3,4,0,2,55,8,7
450,0,2,79,11,11,0,1,21,3,2,0,1,23,3,3,0,1,43,6,5,0,1,22,3,4,0,1,55,8,7
455,0,2,79,11,10,0,0,21,3,2,0,0,23,3,3,0,1,43,6,4,0,0,22,3,3,0,1,55,8,6
460,0,1,77,11,10,0,0,21,3,2,0,0,22,3,3,0,1,43,6,4,0,0,22,3,3,0,1,54,8,6
465,0,2,73,12,11,0,0,20,3,2,0,0,21,3,3,0,1,41,7,5,0,0,21,3,4,0,1,51,8,7
470,0,1,69,11,10,0,0,18,3,2,0,0,20,3,3,0,1,38,6,4,0,0,19,3,3,0,1,48,8,6
475,0,2,64,9,8,0,1,17,2,2,0,1,19,3,2,0,1,36,5,4,0,1,18,2,3,0,1,45,6,6
480,0,2,61,9,8,0,1,16,2,1,0,1,18,3,2,0,1,34,5,4,0,1,17,3,3,0,2,42,6,5
485,0,2,59,10,10,0,0,16,3,2,0,0,17,3,3,0,1,33,5,4,0,0,17,3,3,0,1,42,7,6
490,0,2,57,8,9,0,0,15,2,2,0,0,17,2,3,0,1,32,4,4,0,0,16,2,3,0,1,40,5,6
495,0,1,57,7,8,0,0,15,2,2,0,0,17,2,2,0,1,32,4,4,0,0,16,2,3,0,1,40,5,6
500,0,1,59,7,10,0,0,16,2,2,0,0,17,2,3,0,1,33,4,4,0,0,17,2,3,0,1,41,5,6
505,0,1,54,9,10,0,0,15,2,2,0,0,16,3,3,0,1,30,5,4,0,0,15,2,3,0,1,38,6,6
510,1,2,53,7,10,0,0,14,2,2,0,0,15,2,3,0,1,29,4,5,0,0,15,2,3,0,1,37,5,7
515,0,2,52,7,11,0,0,14,2,2,0,0,15,2,3,0,1,29,4,5,0,0,15,2,4,0,1,36,5,7
520,0,2,53,7,10,0,0,14,2,2,0,0,15,2,3,0,1,29,4,5,0,0,15,2,3,0,1,37,5,7
525,0,1,53,7,10,0,0,14,2,2,0,0,15,2,3,0,1,29,4,4,0,0,15,2,3,0,1,37,5,6
530,0,1,54,7,10,0,0,15,2,2,0,0,16,2,3,0,1,30,4,4,0,0,15,2,3,0,1,38,5,6
535,0,1,46,7,11,0,0,12,2,2,0,0,13,2,3,0,0,25,4,5,0,0,13,2,4,0,1,32,5,8
540,0,2,45,6,11,0,0,12,2,2,0,0,13,2,3,0,1,25,3,5,0,0,13,2,4,0,1,32,4,8
545,0,1,47,7,10,0,0,13,2,2,0,0,14,2,3,0,0,26,4,5,0,0,13,2,3,0,1,33,5,7
550,0,1,45,6,12,0,0,12,2,2,0,0,13,2,4,0,1,25,3,6,0,0,13,2,4,0,1,32,4,8
555,0,1,47,7,11,0,0,13,2,2,0,0,14,2,3,0,1,26,4,5,0,0,13,2,4,0,1,33,5,8
560,1,1,48,6,11,0,0,13,2,2,0,0,14,2,3,0,1,27,3,5,0,0,14,2,4,0,1,34,4,7
565,1,1,46,7,11,0,0,12,2,2,0,0,13,2,3,0,1,25,4,5,0,0,13,2,4,0,1,32,5,7
570,0,1,44,7,11,0,0,12,2,2,0,0,13,2,3,0,1,25,4,5,0,0,13,2,4,0,1,31,5,8
575,1,1,49,7,10,0,0,13,2,2,0,0,14,2,3,0,1,27,4,5,0,0,14,2,3,0,1,34,5,7
580,0,1,49,7,13,0,0,13,2,2,0,0,14,2,4,0,0,27,4,6,0,0,14,2,4,0,1,34,5,9
585,0,2,49,8,10,0,1,13,2,2,0,1,14,2,3,0,1,27,4,4,0,1,14,2,3,0,1,34,5,6
590,0,1,49,7,11,0,0,13,2,2,0,0,14,2,3,0,1,27,4,5,0,0,14,2,4,0,1,35,5,8
595,0,2,48,7,11,0,1,13,2,2,0,1,14,2,3,0,1,27,4,5,0,1,14,2,4,0,1,34,5,8
600,0,2,47,8,13,0,0,13,2,2,0,0,14,2,4,0,1,26,4,6,0,0,13,2,4,0,1,33,5,9
605,0,2,48,8,13,0,0,13,2,2,0,0,14,2,4,0,1,27,4,6,0,0,14,2,4,0,1,34,5,9
610,1,2,46,7,13,0,0,12,2,2,0,0,13,2,4,0,1,25,4,6,0,0,13,2,4,0,1,32,5,9
615,0,1,49,7,12,0,0,13,2,2,0,0,14,2,4,0,1,27,4,6,0,0,14,2,4,0,1,34,5,8
620,0,1,49,7,13,0,0,13,2,2,0,0,14,2,4,0,1,27,4,6,0,0,14,2,4,0,1,35,5,9
625,1,2,49,8,10,0,0,13,2,2,0,0,14,2,3,0,1,27,4,5,0,0,14,2,3,0,1,34,5,7
630,0,2,47,8,13,0,0,13,2,2,0,0,14,2,4,0,1,26,4,6,0,0,13,2,4,0,1,33,6,9
635,1,2,51,8,12,0,0,14,2,2,0,0,15,2,4,0,1,28,4,6,0,0,14,2,4,0,1,36,5,8
640,1,2,50,7,11,0,0,13,2,2,0,0,15,2,3,0,1,28,4,5,0,0,14,2,4,0,1,35,5,7
645,0,2,49,7,11,0,0,13,2,2,0,0,14,2,3,0,1,27,4,5,0,0,14,2,4,0,1,34,5,8
650,0,2,48,7,11,0,1,13,2,2,0,1,14,2,3,0,1,27,4,5,0,1,13,2,4,0,1,34,5,7
655,0,1,49,8,11,0,0,13,2,2,0,0,14,2,3,0,1,27,4,5,0,0,14,2,4,0,1,34,5,7
660,0,2,49,7,10,0,1,13,2,2,0,1,14,2,3,0,1,27,4,4,0,1,14,2,3,0,1,34,5,6
665,0,1,49,7,10,0,0,13,2,2,0,0,14,2,3,0,1,27,4,5,0,0,14,2,3,0,1,35,5,7
670,0,1,51,8,11,0,0,14,2,2,0,0,15,2,3,0,1,28,4,5,0,0,14,2,4,0,1,36,5,8
675,0,2,53,7,12,0,1,14,2,2,0,1,15,2,4,0,1,29,4,6,0,1,15,2,4,0,1,37,5,8
680,0,2,55,8,11,0,0,15,2,2,0,0,16,2,3,0,1,31,5,5,0,0,16,2,4,0,1,39,6,8
685,0,2,51,8,10,0,0,14,2,2,0,0,15,2,3,0,1,28,4,5,0,0,14,2,3,0,1,36,5,7
690,0,2,53,8,10,0,1,14,2,2,0,1,15,2,3,0,1,29,4,4,0,1,15,2,3,0,1,37,6,6
695,0,2,59,7,10,0,1,16,2,2,0,1,17,2,3,0,1,33,4,5,0,1,17,2,3,0,1,41,5,7
700,0,2,58,8,8,0,1,16,2,1,0,1,17,2,2,0,1,32,4,4,0,1,16,2,3,0,2,40,6,5
705,0,2,58,7,9,0,0,16,2,2,0,0,17,2,3,0,1,32,4,4,0,0,16,2,3,0,1,41,5,6
710,0,2,61,8,8,0,0,16,2,2,0,0,18,2,2,0,1,34,5,4,0,0,17,2,3,0,1,43,6,6
715,0,2,62,9,7,0,1,17,2,1,0,1,18,3,2,0,1,34,5,3,0,1,17,3,2,0,1,43,6,4
720,0,2,67,8,8,0,1,18,2,1,0,1,19,2,2,0,1,37,5,4,0,1,19,2,3,0,2,47,6,5
725,0,3,75,8,7,0,1,20,2,1,0,1,22,2,2,0,2,41,5,3,0,1,21,2,2,0,2,52,6,5
730,0,2,66,7,7,0,1,18,2,1,0,1,19,2,2,0,1,36,4,3,0,1,18,2,2,0,2,46,5,5
735,0,3,59,7,7,0,1,16,2,1,0,1,17,2,2,0,1,33,4,3,0,1,17,2,2,0,2,41,5,4
740,0,2,54,6,6,0,1,15,2,1,0,1,16,2,2,0,1,30,3,3,0,1,15,2,2,0,1,38,4,4
745,0,2,51,5,7,0,1,14,1,1,0,1,15,1,2,0,1,28,3,3,0,1,14,1,2,0,1,36,3,4
750,0,2,49,5,8,0,0,13,1,2,0,0,14,2,2,0,1,27,3,4,0,0,14,2,3,0,1,34,4,6
755,0,2,50,5,5,0,1,13,1,1,0,1,15,1,1,0,1,28,3,2,0,1,14,1,2,0,1,35,3,3
760,0,1,53,5,7,0,0,14,1,1,0,0,16,2,2,0,1,29,3,3,0,0,15,2,2,0,1,37,4,5
765,1,2,56,7,6,0,1,15,2,1,0,1,16,2,2,0,1,31,4,3,0,1,16,2,2,0,1,39,5,4
770,0,3,58,8,10,0,1,16,2,2,0,1,17,2,3,0,1,32,4,5,0,1,16,2,3,0,2,40,5,7
775,0,2,61,7,10,0,1,16,2,2,0,1,18,2,3,0,1,34,4,4,0,1,17,2,3,0,1,42,5,6
780,1,2,61,7,10,0,1,16,2,2,0,1,18,2,3,0,1,34,4,4,0,1,17,2,3,0,2,42,5,6
785,0,2,66,8,10,0,1,18,2,2,0,1,19,2,3,0,1,36,5,4,0,1,19,2,3,0,1,46,6,6
790,0,2,65,9,10,0,1,17,2,2,0,1,19,3,3,0,1,36,5,4,0,1,18,3,3,0,1,45,6,6
795,0,2,65,9,11,0,0,17,2,2,0,0,19,3,3,0,1,36,5,5,0,0,18,2,4,0,1,45,6,7
800,0,2,66,8,11,0,1,18,2,2,0,1,19,2,3,0,1,36,4,5,0,1,19,2,4,0,2,46,6,8
805,0,2,61,8,10,0,0,16,2,2,0,0,18,2,3,0,1,34,4,5,0,0,17,2,3,0,1,43,6,7
810,0,1,57,8,11,0,0,15,2,2,0,0,17,2,3,0,1,31,4,5,0,0,16,2,4,0,1,40,6,7
815,0,2,61,8,12,0,1,16,2,2,0,1,18,2,4,0,1,34,5,6,0,1,17,2,4,0,1,43,6,8
820,1,2,60,8,10,0,0,16,2,2,0,0,17,2,3,0,1,33,4,5,0,0,17,2,3,0,1,42,6,7
825,0,2,60,8,11,0,0,16,2,2,0,0,18,2,3,0,1,33,4,5,0,0,17,2,4,0,1,42,6,7
830,0,2,57,8,10,0,1,15,2,2,0,1,17,2,3,0,1,32,5,5,0,1,16,2,3,0,1,40,6,7
835,1,1,60,8,11,0,0,16,2,2,0,0,18,2,3,0,1,33,4,5,0,0,17,2,4,0,1,42,5,7
840,0,2,59,7,8,0,0,16,2,2,0,0,17,2,2,0,1,32,4,4,0,0,17,2,3,0,1,41,5,6
845,1,2,58,8,11,0,1,16,2,2,0,1,17,2,3,0,1,32,4,5,0,1,16,2,4,0,1,40,6,7
850,1,2,62,8,11,0,1,17,2,2,0,1,18,2,3,0,1,34,4,5,0,1,17,2,4,0,1,43,5,8
855,0,2,61,7,12,0,0,16,2,2,0,0,18,2,4,0,1,34,4,6,0,0,17,2,4,0,1,42,5,8
860,0,2,63,7,11,0,1,17,2,2,0,1,18,2,3,0,1,35,4,5,0,1,18,2,4,0,1,44,5,7
865,0,2,61,8,10,0,1,16,2,2,0,1,18,2,3,0,1,34,4,5,0,1,17,2,3,0,2,42,5,7
870,0,2,58,7,11,0,0,15,2,2,0,0,17,2,3,0,1,32,4,5,0,0,16,2,4,0,1,40,5,8
875,0,2,63,8,11,0,0,17,2,2,0,0,18,2,3,0,1,35,4,5,0,0,18,2,4,0,1,44,5,7
880,0,3,63,6,11,0,1,17,2,2,0,1,18,2,3,0,2,35,3,5,0,1,18,2,4,0,2,44,4,7
885,0,2,62,7,10,0,1,17,2,2,0,1,18,2,3,0,1,34,4,5,0,1,17,2,3,0,1,43,5,7
890,0,2,63,8,9,0,1,17,2,2,0,1,18,2,3,0,1,35,4,4,0,1,18,2,3,0,2,44,5,6
895,0,2,63,8,9,0,0,17,2,2,0,0,18,2,3,0,1,35,4,4,0,0,18,2,3,0,1,44,5,6
900,0,2,62,8,10,0,1,17,2,2,0,1,18,2,3,0,1,34,4,4,0,1,17,2,3,0,2,43,5,6
905,0,2,64,8,9,0,0,17,2,2,0,0,19,2,3,0,1,35,4,4,0,0,18,2,3,0,1,44,5,6
910,0,2,66,7,9,0,1,18,2,2,0,1,19,2,3,0,1,36,4,4,0,1,19,2,3,0,2,46,5,6
915,0,2,64,8,10,0,1,17,2,2,0,1,19,2,3,0,1,36,4,5,0,1,18,2,3,0,1,45,5,7
920,1,2,67,8,9,0,1,18,2,2,0,1,20,2,3,0,1,37,4,4,0,1,19,2,3,0,1,47,5,6
925,0,2,69,9,11,0,1,19,2,2,0,1,20,3,3,0,1,38,5,5,0,1,19,2,4,0,1,48,6,7
930,0,2,69,9,10,0,1,18,2,2,0,1,20,3,3,0,1,38,5,4,0,1,19,3,3,0,2,48,6,6
935,1,3,70,9,8,0,1,19,2,1,0,1,20,3,2,0,1,39,5,4,0,1,20,3,3,0,2,49,6,5
940,0,3,70,9,10,0,1,19,2,2,0,1,20,3,3,0,1,39,5,4,0,1,20,3,3,0,2,49,6,6
945,0,2,70,9,10,0,1,19,2,2,0,1,20,3,3,0,1,39,5,4,0,1,20,3,3,0,2,49,6,6
950,0,3,73,9,7,0,1,20,2,1,0,1,21,3,2,0,1,40,5,3,0,1,20,3,2,0,2,51,6,5
955,1,3,74,10,9,0,1,20,3,2,0,1,22,3,3,0,1,41,5,4,0,1,21,3,3,0,2,52,7,6
960,0,3,76,10,8,0,1,20,3,2,0,1,22,3,2,0,1,42,5,4,0,1,21,3,3,0,2,53,7,6
965,0,3,85,9,8,0,1,23,2,1,0,1,25,3,2,0,2,47,5,4,0,1,24,3,3,0,2,59,6,5
970,0,3,87,10,8,0,1,23,3,1,0,1,26,3,2,0,2,48,6,4,0,1,25,3,3,0,2,61,7,5
975,0,3,84,10,6,0,1,23,3,1,0,1,25,3,2,0,2,47,5,3,0,1,24,3,2,0,2,59,7,4
980,0,3,91,10,7,0,1,24,3,1,0,1,27,3,2,0,2,50,5,3,0,1,26,3,2,0,2,64,7,5
985,0,4,91,10,7,0,1,24,3,1,0,1,27,3,2,0,2,50,5,3,0,1,26,3,2,0,3,64,7,4
990,0,4,90,10,7,0,1,24,3,1,0,1,26,3,2,0,2,50,6,3,0,1,25,3,2,0,3,63,7,4
995,0,3,99,11,4,0,1,26,3,1,0,1,29,3,1,0,2,55,6,2,0,1,28,3,1,0,2,69,8,3
1000,0,3,94,10,6,0,1,25,3,1,0,1,28,3,2,0,2,52,6,3,0,1,27,3,2,0,2,66,7,4
1005,0,3,94,11,7,0,1,25,3,1,0,1,28,3,2,0,2,52,6,3,0,1,27,3,2,0,2,66,8,4
1010,0,4,97,10,6,0,1,26,3,1,0,1,28,3,2,0,2,54,5,3,0,1,27,3,2,0,3,68,7,4
1015,0,3,98,10,5,0,1,26,3,1,0,1,29,3,2,0,2,54,6,2,0,1,28,3,2,0,2,69,7,4
1020,0,4,97,9,5,0,1,26,2,1,0,1,28,3,1,0,2,54,5,2,0,1,27,3,2,0,3,68,6,3
1025,0,4,110,10,4,0,1,30,3,1,0,1,32,3,1,0,2,61,6,2,0,1,31,3,1,0,3,77,7,3
1030,0,4,109,10,5,0,1,29,3,1,0,1,32,3,1,0,2,60,5,2,0,1,31,3,2,0,3,76,7,3
1035,0,4,108,9,4,0,1,29,2,1,0,1,32,3,1,0,2,60,5,2,0,1,30,2,1,0,3,76,6,3
1040,0,4,109,8,5,0,1,29,2,1,0,1,32,2,1,0,2,60,5,2,0,1,31,2,2,0,3,76,6,3
1045,0,4,105,9,2,0,1,28,2,0,0,1,31,3,1,0,2,58,5,1,0,1,30,2,1,0,3,74,6,2
1050,0,4,105,9,4,0,1,28,2,1,0,1,31,3,1,0,2,58,5,2,0,1,29,3,1,0,3,73,6,3
1055,0,4,108,8,3,0,1,29,2,1,0,1,31,2,1,0,2,60,5,1,0,1,30,2,1,0,3,75,6,2
1060,0,3,102,8,2,0,1,27,2,0,0,1,30,2,1,0,2,56,4,1,0,1,29,2,1,0,2,71,5,1
1065,0,3,97,8,4,0,1,26,2,1,0,1,28,2,1,0,2,54,4,2,0,1,27,2,1,0,2,68,5,2
1070,0,3,94,7,4,0,1,25,2,1,0,1,27,2,1,0,2,52,4,2,0,1,26,2,1,0,2,65,5,3
1075,0,3,94,7,4,0,1,25,2,1,0,1,27,2,1,0,2,52,4,2,0,1,26,2,1,0,2,66,5,2
1080,0,3,92,6,4,0,1,25,2,1,0,1,27,2,1,0,2,51,3,2,0,1,26,2,1,0,2,64,4,2
1085,0,3,88,6,4,0,1,24,2,1,0,1,26,2,1,0,2,49,3,2,0,1,25,2,1,0,2,62,4,3
1090,0,3,88,7,4,0,1,24,2,1,0,1,26,2,1,0,2,49,4,2,0,1,25,2,1,0,2,61,5,2
1095,0,3,83,5,2,0,1,22,1,0,0,1,24,1,1,0,2,46,3,1,0,1,23,1,1,0,2,58,3,2
1100,0,3,79,5,3,0,1,21,1,1,0,1,23,1,1,0,1,44,3,1,0,1,22,1,1,0,2,55,3,2
