Time,51 B off,,,,,51 B on,,,,,51 Z off,,,,,51 Z on,,,,
Veh. Class,MOTC,CAR,DELIV,BUS,TRUCK,MOTC,CAR,DELIV,BUS,TRUCK,MOTC,CAR,DELIV,BUS,TRUCK,MOTC,CAR,DELIV,BUS,TRUCK
485,0,28,5,0,4,0,33,6,0,5,0,24,5,0,4,1,44,7,0,6
490,0,27,5,0,5,0,34,5,0,5,0,24,5,0,4,1,44,6,0,6
495,0,27,5,0,5,0,35,5,0,5,0,24,4,0,4,1,47,6,0,6
500,0,28,5,0,5,0,33,5,0,4,0,24,4,0,4,1,43,6,0,6
505,0,27,5,0,5,0,34,5,0,5,0,24,4,0,4,1,46,6,0,6
510,0,27,4,0,5,0,33,4,0,5,0,23,4,0,5,1,44,6,0,6
515,0,27,5,0,5,0,32,4,0,4,0,24,4,0,4,1,43,6,0,6
520,0,27,5,0,5,0,31,4,0,4,0,23,4,0,5,1,40,6,0,6
525,0,26,4,0,5,0,29,4,0,4,0,22,4,0,5,1,38,6,0,5
530,0,24,5,0,5,0,26,4,0,4,0,21,4,0,4,1,35,6,0,5
535,0,22,4,0,5,0,25,4,0,4,0,19,4,0,4,1,34,6,0,6
540,0,21,4,0,5,0,25,4,0,5,0,18,4,0,4,1,34,6,0,6
545,0,20,4,0,5,0,25,4,0,4,0,18,4,0,4,1,34,5,0,6
550,0,20,4,0,5,0,26,4,0,4,0,18,4,0,4,1,35,5,0,6
555,0,21,4,0,5,0,26,4,0,5,0,19,3,0,5,1,35,5,0,6
560,0,21,4,0,5,0,25,4,0,4,0,19,4,0,5,1,34,5,0,6
565,0,21,4,0,5,0,27,4,0,4,0,18,4,0,5,1,36,5,0,6
570,0,21,4,0,5,0,26,4,0,4,0,19,4,0,5,1,35,5,0,5
575,0,22,4,0,5,0,26,4,0,4,0,20,4,0,5,1,34,6,0,5
580,0,24,4,0,5,0,26,4,0,4,0,20,4,0,5,1,34,6,0,5
585,0,24,4,0,5,0,25,4,0,4,0,21,4,0,5,1,33,6,0,5
590,0,24,4,0,5,0,24,4,0,4,0,20,4,0,5,1,31,5,0,5
595,0,22,4,0,5,0,24,4,0,4,0,19,4,0,5,1,31,5,0,5
600,0,21,4,0,6,0,23,4,0,5,0,19,4,0,5,1,31,6,0,6
605,0,21,4,0,6,0,24,4,0,5,0,19,4,0,5,1,32,6,0,6
610,0,21,4,0,6,0,24,4,0,5,0,18,4,0,5,1,33,6,0,6
615,0,23,4,0,6,0,25,4,0,4,0,20,4,0,5,1,33,6,0,5
620,0,23,4,0,6,0,25,4,0,4,0,20,4,0,5,1,33,6,0,6
625,0,23,4,0,6,0,25,4,0,4,0,20,4,0,5,1,34,6,0,6
630,0,23,4,0,6,0,25,4,0,4,0,20,4,0,5,1,33,6,0,6
635,0,24,4,0,6,0,25,4,0,4,0,21,4,0,5,1,33,6,0,6
640,0,24,4,0,6,0,24,4,0,4,0,21,4,0,5,1,32,6,0,6
645,0,25,5,0,6,0,24,4,0,5,0,22,4,0,5,1,31,6,0,6
650,0,24,4,0,6,0,23,4,0,4,0,21,4,0,5,1,30,5,0,6
655,0,25,4,0,6,0,23,4,0,4,0,21,4,0,5,1,30,6,0,5
660,0,24,5,0,6,0,23,4,0,4,0,21,4,0,5,1,31,6,0,6
665,0,24,4,0,6,0,24,4,0,4,0,21,4,0,5,1,33,6,0,6
670,0,24,4,0,6,0,24,4,0,4,0,21,4,0,5,1,33,6,0,5
675,0,26,4,0,6,0,24,4,0,4,0,23,4,0,5,1,33,6,0,5
680,0,26,5,0,6,0,24,4,0,4,0,23,4,0,5,1,32,6,0,6
685,0,26,5,0,6,0,24,4,0,4,0,23,4,0,5,1,33,6,0,6
690,0,27,5,0,6,0,24,4,0,4,0,23,4,0,5,1,33,5,0,6
695,0,27,5,0,6,0,25,4,0,4,0,23,4,0,5,1,33,6,0,5
700,0,28,5,0,6,0,25,4,0,4,0,24,4,0,5,1,33,6,0,5
705,0,27,5,0,6,0,24,4,0,4,0,24,4,0,5,1,31,6,0,5
710,0,27,4,0,5,0,23,4,0,4,0,24,4,0,4,1,31,6,0,5
715,0,26,4,0,5,0,23,4,0,3,0,23,4,0,4,1,31,5,0,5
720,0,26,4,0,5,0,24,4,0,3,0,22,4,0,4,1,33,5,0,5
725,0,28,4,0,5,0,26,4,0,3,0,24,4,0,4,1,35,5,0,5
730,0,30,4,0,5,0,28,4,0,3,0,26,4,0,4,1,38,5,0,5
735,0,30,4,0,5,0,29,4,0,4,0,26,4,0,4,1,39,5,0,6
740,1,30,4,0,5,0,28,4,0,4,0,25,4,0,4,1,38,5,0,5
745,0,29,4,0,5,0,27,4,0,4,0,25,4,0,4,1,37,5,0,5
750,0,30,4,0,4,0,26,4,0,4,0,25,4,0,4,1,35,5,0,5
755,0,30,4,0,4,0,27,4,0,3,0,25,3,0,4,1,35,5,0,5
760,0,30,4,0,5,0,26,3,0,3,0,26,4,0,4,1,35,5,0,5
765,0,31,4,0,5,0,25,4,0,4,0,27,3,0,4,1,34,5,0,5
770,0,32,4,0,5,0,25,3,0,3,0,27,4,0,4,1,34,5,0,5
775,0,32,4,0,4,0,26,4,0,3,0,27,4,0,4,1,35,5,0,5
780,0,32,4,0,5,0,27,4,0,4,0,28,4,0,4,1,36,5,0,6
785,0,34,4,0,4,0,28,4,0,4,0,29,4,0,4,1,38,5,0,5
790,0,34,4,0,4,0,29,4,0,4,0,29,4,0,4,1,39,6,0,5
795,0,34,5,0,5,0,30,4,0,4,0,29,4,0,4,1,40,6,0,5
800,0,33,5,0,5,0,29,4,0,4,0,28,4,0,4,1,40,6,0,5
805,0,33,5,0,5,0,30,4,0,4,0,28,4,0,5,1,41,6,0,5
810,0,32,5,0,5,0,30,4,0,5,0,28,4,0,5,1,41,6,0,6
815,0,32,5,0,5,0,30,4,0,4,0,27,4,0,5,1,40,6,0,6
820,0,31,5,0,5,0,29,5,0,5,0,27,4,0,5,1,39,6,0,7
825,0,32,5,0,5,0,28,4,0,5,0,27,4,0,5,1,38,6,0,6
830,0,31,5,0,5,0,28,5,0,4,0,27,4,0,5,1,37,6,0,6
835,0,30,5,0,5,0,28,5,0,5,0,26,4,0,5,1,38,6,0,6
840,0,28,5,0,5,0,28,4,0,5,0,24,4,0,5,1,37,6,0,7
845,0,29,5,0,5,0,28,5,0,5,0,25,4,0,5,1,38,6,0,6
850,0,30,5,0,5,0,29,4,0,5,0,25,4,0,5,1,40,6,0,6
855,0,31,5,0,5,0,30,5,0,5,0,26,4,0,5,1,40,6,0,6
860,1,31,5,0,5,0,29,4,0,5,0,27,4,0,5,1,39,6,0,6
865,0,33,5,0,5,0,32,5,0,4,0,28,4,0,5,1,42,6,0,6
870,1,32,5,0,5,0,32,4,0,4,0,28,4,0,5,1,42,6,0,6
875,1,32,5,0,5,0,32,5,0,4,0,27,5,0,4,1,43,6,0,6
880,1,33,5,0,5,0,32,5,0,4,0,28,4,0,4,1,43,6,0,6
885,0,33,5,0,5,0,32,5,0,4,0,29,4,0,5,1,42,6,0,5
890,1,33,5,0,5,0,31,5,0,4,0,28,4,0,4,1,42,6,0,6
895,1,32,5,0,5,0,30,5,0,4,0,28,4,0,4,1,41,6,0,6
900,1,31,5,0,4,0,30,5,0,4,0,27,4,0,4,1,41,6,0,6
905,1,32,5,0,5,0,30,5,0,4,0,28,4,0,4,1,41,6,0,6
910,1,34,5,0,5,0,31,5,0,4,0,29,4,0,4,1,41,6,0,6
915,1,35,5,0,5,0,32,5,0,4,0,29,4,0,4,1,43,6,0,5
920,1,36,5,0,5,0,32,5,0,4,0,30,4,0,4,1,44,6,0,5
925,1,37,5,0,5,0,34,5,0,4,0,31,5,0,5,1,45,7,0,5
930,1,37,5,0,5,0,34,5,0,4,0,32,5,0,5,1,45,7,0,5
935,1,38,5,0,5,0,33,5,0,4,0,33,5,0,4,1,44,7,0,5
940,1,38,5,0,4,0,34,5,0,4,0,33,5,0,4,1,45,7,0,5
945,1,40,5,0,4,0,33,5,0,3,0,34,5,0,4,1,45,7,0,4
950,1,40,5,0,4,0,33,5,0,3,0,34,5,0,4,1,45,7,0,5
955,1,40,5,0,4,0,34,6,0,3,0,34,5,0,4,1,47,7,0,4
960,1,40,5,0,5,0,36,6,0,3,0,34,5,0,4,1,48,7,0,4
965,1,41,6,0,4,1,40,6,0,3,0,34,5,0,4,1,53,7,0,4
970,1,43,6,0,4,1,42,6,0,3,0,35,5,0,3,1,57,7,0,4
975,1,44,6,0,4,1,43,6,0,3,0,36,5,0,3,1,59,7,0,4
980,1,45,6,0,4,1,43,6,0,3,0,37,5,0,3,1,59,7,0,4
985,1,46,5,0,4,1,43,6,0,3,0,38,5,0,3,1,58,8,0,4
990,1,46,6,0,4,1,43,6,0,3,0,37,4,0,3,1,58,9,0,3
995,1,46,6,0,4,1,44,6,0,3,0,38,4,0,3,1,58,8,0,3
1000,1,46,6,0,4,1,45,6,0,3,0,37,4,0,3,1,58,8,0,3
1005,1,46,5,0,3,1,47,6,0,3,0,37,4,0,3,1,58,8,0,3
1010,1,47,6,0,4,1,49,6,0,2,0,37,4,0,3,1,56,7,0,3
1015,1,46,5,0,3,1,48,6,0,3,0,37,4,0,3,1,54,6,0,3
1020,1,46,5,0,3,1,52,6,0,2,0,37,4,0,3,1,54,7,0,3
1025,1,47,5,0,3,1,54,6,0,2,0,37,4,0,3,1,58,6,0,3
1030,1,49,5,0,3,1,54,5,0,2,0,38,4,0,2,1,58,6,0,3
1035,1,50,4,0,3,1,55,5,0,2,0,39,4,0,2,1,59,6,0,3
1040,1,50,5,0,3,1,55,5,0,2,0,40,4,0,2,1,59,6,0,3
1045,1,50,4,0,3,1,54,5,0,2,0,40,4,0,2,1,57,5,0,2
1050,1,51,4,0,3,1,52,5,0,2,0,40,4,0,2,1,56,5,0,2
1055,1,50,4,0,3,1,51,4,0,2,0,40,4,0,2,1,54,5,0,2
1060,1,50,4,0,3,1,51,4,0,2,0,39,3,0,2,1,54,5,0,2
1065,1,50,4,0,3,1,50,4,0,2,0,39,4,0,2,1,52,5,0,2
1070,1,49,4,0,3,1,48,4,0,2,0,39,4,0,2,1,50,4,0,2
1075,1,49,4,0,3,0,45,4,0,2,0,38,3,0,2,1,47,4,0,2
1080,1,47,4,0,3,0,44,4,0,2,0,38,3,0,2,1,46,4,0,3
1085,1,46,4,0,3,0,41,4,0,2,0,36,3,0,2,1,46,4,0,2
1090,1,46,4,0,3,0,40,3,0,1,0,37,3,0,2,1,47,4,0,2
1095,1,45,4,0,3,0,38,3,0,2,0,37,3,0,2,1,48,4,0,2
1100,1,45,3,0,3,0,35,3,0,1,0,36,3,0,2,1,48,4,0,2
1105,1,44,3,0,3,0,33,3,0,1,0,36,3,0,2,1,48,4,0,2
1110,1,43,3,0,3,0,31,3,0,1,0,35,3,0,2,1,48,4,0,2
1115,1,42,3,0,3,0,29,2,0,1,0,35,3,0,2,1,47,4,0,2
1120,1,42,3,0,3,0,27,2,0,1,0,35,3,0,2,1,47,4,0,1
1125,1,42,3,0,2,0,26,2,0,0,0,35,3,0,2,1,45,4,0,1
1130,1,40,3,0,2,0,25,2,0,1,0,34,3,0,1,1,41,3,0,1
1135,1,38,3,0,2,0,23,2,0,1,0,32,2,0,2,1,40,3,0,2
1140,1,36,3,0,2,0,22,2,0,1,0,31,2,0,2,1,38,3,0,2
1145,1,35,3,0,2,0,22,2,0,1,0,30,2,0,2,1,37,3,0,2
1150,0,35,3,0,2,0,22,2,0,1,0,30,2,0,1,1,37,3,0,1
1155,0,34,3,0,1,0,21,1,0,1,0,29,2,0,1,1,36,3,0,1
1160,0,33,2,0,1,0,19,1,0,1,0,28,2,0,1,1,33,3,0,1
1165,0,32,2,0,1,0,21,1,0,1,0,27,2,0,1,1,34,3,0,1
1170,0,31,2,0,1,0,19,1,0,1,0,26,2,0,1,1,32,3,0,1
1175,0,29,2,0,1,0,18,2,0,1,0,26,2,0,0,1,31,2,0,1
1180,0,28,2,0,1,0,17,2,0,1,0,24,2,0,0,1,29,2,0,1
1185,0,27,2,0,1,0,17,2,0,1,0,24,2,0,0,1,27,2,0,1
1190,0,27,2,0,1,0,15,1,0,1,0,23,2,0,0,1,25,2,0,1
1195,0,25,2,0,1,0,15,2,0,0,0,21,1,0,0,1,24,2,0,1
1200,0,25,2,0,1,0,14,2,0,1,0,22,1,0,0,1,24,2,0,1
1205,0,24,2,0,1,0,14,2,0,1,0,21,1,0,0,1,24,2,0,1
1210,0,25,2,0,1,0,14,2,0,1,0,21,1,0,0,1,23,2,0,1
1215,0,25,2,0,1,0,14,1,0,1,0,21,1,0,0,1,24,2,0,1
1220,0,25,2,0,1,0,14,2,0,1,0,21,1,0,0,1,23,2,0,1
1225,0,24,2,0,1,0,14,1,0,0,0,21,1,0,0,1,22,2,0,1
1230,0,22,2,0,1,0,13,2,0,0,0,20,1,0,0,1,21,2,0,1
1235,0,22,2,0,1,0,13,2,0,0,0,19,1,0,0,0,21,2,0,1
1240,0,21,1,0,1,0,13,2,0,0,0,19,1,0,0,0,22,2,0,0
1245,0,21,2,0,1,0,13,2,0,0,0,18,1,0,0,0,21,2,0,1
1250,0,20,1,0,1,0,13,2,0,0,0,18,1,0,0,1,20,2,0,1
1255,0,20,1,0,1,0,12,1,0,0,0,18,1,0,0,1,20,2,0,0
1260,0,20,1,0,1,0,12,1,0,0,0,18,1,0,0,0,20,2,0,0
1265,0,19,1,0,1,0,13,1,0,0,0,17,1,0,0,1,20,2,0,0
1270,0,20,1,0,1,0,13,1,0,0,0,17,1,0,0,1,20,2,0,0
1275,0,20,1,0,1,0,12,1,0,0,0,17,1,0,0,0,20,2,0,0
1280,0,20,1,0,1,0,13,1,0,0,0,17,1,0,0,1,20,2,0,0
1285,0,20,1,0,1,0,12,1,0,0,0,17,1,0,0,1,20,2,0,0
1290,0,20,1,0,1,0,12,1,0,0,0,17,1,0,0,0,20,1,0,0
1295,0,19,1,0,1,0,12,1,0,0,0,17,1,0,0,1,19,1,0,0
1300,0,18,1,0,1,0,12,1,0,0,0,16,1,0,0,0,18,1,0,1
1305,0,19,1,0,1,0,11,1,0,0,0,16,1,0,0,0,18,1,0,0
1310,0,17,1,0,0,0,11,1,0,0,0,15,1,0,0,0,18,1,0,0
1315,0,18,1,0,0,0,12,1,0,0,0,15,1,0,0,0,19,1,0,0
1320,0,17,1,0,0,0,12,1,0,0,0,15,1,0,0,1,19,1,0,0
1325,0,18,1,0,0,0,12,1,0,0,0,15,1,0,0,0,20,1,0,0
1330,0,18,1,0,0,0,12,1,0,0,0,15,1,0,0,1,20,1,0,1
1335,0,19,1,0,0,0,13,1,0,0,0,16,1,0,0,0,20,1,0,0
1340,0,19,1,0,0,0,13,1,0,0,0,17,1,0,0,0,20,1,0,0
1345,0,18,1,0,0,0,13,1,0,0,0,16,1,0,0,1,20,1,0,1
1350,0,18,1,0,0,0,12,1,0,0,0,15,1,0,0,0,18,1,0,1
1355,0,18,1,0,0,0,11,1,0,0,0,15,1,0,0,0,16,1,0,0
1360,0,17,1,0,0,0,10,0,0,0,0,14,1,0,0,0,16,1,0,0
1365,0,17,1,0,0,0,9,0,0,0,0,14,1,0,0,0,15,1,0,0
1370,0,15,1,0,0,0,9,0,0,0,0,14,0,0,0,0,13,1,0,0
1375,0,14,1,0,0,0,9,0,0,0,0,13,0,0,0,0,13,1,0,0
1380,0,14,1,0,0,0,8,0,0,0,0,12,1,0,0,0,13,1,0,1
1385,0,13,1,0,0,0,9,0,0,0,0,12,0,0,0,0,13,1,0,1
1390,0,13,1,0,0,0,11,0,0,0,0,12,0,0,0,0,18,1,0,1
1395,0,13,1,0,0,0,12,0,0,0,0,12,0,0,0,0,19,1,0,0
1400,0,13,1,0,0,0,13,0,0,0,0,11,0,0,0,0,19,1,0,0
1405,0,12,1,0,0,0,11,0,0,0,0,11,0,0,0,0,17,1,0,0
1410,0,12,1,0,0,0,8,0,0,0,0,10,0,0,0,0,13,1,0,0
1415,0,11,1,0,0,0,6,0,0,0,0,10,0,0,0,0,10,1,0,0
1420,0,10,1,0,0,0,6,0,0,0,0,9,0,0,0,0,8,1,0,0
1425,0,10,1,0,0,0,5,0,0,0,0,8,0,0,0,0,7,1,0,0
1430,0,9,1,0,0,0,4,0,0,0,0,8,0,0,0,0,7,1,0,0
1435,0,9,1,0,0,0,4,0,0,0,0,7,0,0,0,0,6,1,0,0
